top: 5541 229 [233, 16623]
top: 8248 234 [236, 16623]
top: 9750 237 [239, 16623]
top: 9457 237 [240, 16623]
top: 8827 236 [240, 16623]
top: 7392 234 [240, 16623]
top: 4754 233 [240, 16623]
top: 9825 241 [243, 16623]
top: 5993 241 [244, 16623]
top: 4527 240 [244, 16623]
top: 4129 233 [244, 16623]
top: 2589 229 [244, 36246]
top: 933 228 [244, 36246]
top: 9438 245 [247, 36246]
top: 9293 245 [248, 36246]
top: 3257 244 [248, 36246]
top: 9182 248 [250, 36246]
top: 6583 248 [251, 36246]
top: 7492 251 [253, 36246]
top: 2192 251 [254, 36246]
top: 1785 248 [254, 36246]
top: 2568 255 [257, 36246]
top: 2398 254 [257, 36246]
top: 6639 257 [259, 36246]
top: 2289 257 [260, 36246]
top: 2260 254 [260, 36246]
top: 1167 248 [260, 36246]
top: 1143 248 [261, 36246]
top: 955 244 [261, 36246]
top: 8083 261 [263, 36246]
top: 5567 261 [264, 36246]
top: 742 244 [264, 36246]
top: 266 228 [264, 36246]
top: 8619 268 [270, 36246]
top: 6854 267 [270, 36246]
top: 6070 266 [270, 36246]
top: 4147 266 [271, 36246]
top: 2486 265 [271, 36246]
top: 7710 273 [275, 36246]
top: 6969 272 [275, 36246]
top: 2969 271 [275, 36246]
top: 6617 275 [277, 36246]
top: 2631 275 [278, 36246]
top: 2407 271 [278, 36246]
top: 2188 265 [278, 36246]
top: 2984 278 [280, 36246]
top: 1977 265 [280, 36246]
top: 1640 264 [280, 36246]
top: 9044 280 [282, 36246]
top: 8088 280 [283, 36246]
top: 9643 284 [286, 36246]
top: 9298 284 [287, 36246]
top: 8940 283 [287, 36246]
top: 9799 287 [289, 36246]
top: 9083 287 [290, 36246]
top: 9123 290 [292, 36246]
top: 7639 287 [292, 36246]
top: 6193 283 [292, 36246]
top: 5646 280 [292, 36246]
top: 6692 292 [294, 36246]
top: 5261 280 [294, 36246]
top: 1051 264 [294, 36246]
top: 9158 295 [297, 36246]
top: 4410 294 [297, 36246]
top: 650 264 [297, 36246]
top: 4468 297 [299, 36246]
top: 3117 299 [301, 36246]
top: 2686 297 [301, 36246]
top: 8764 304 [306, 36246]
top: 8668 304 [307, 36246]
top: 7682 304 [308, 36246]
top: 4896 303 [308, 36246]
top: 2911 302 [308, 36246]
top: 2335 301 [308, 36246]
top: 948 301 [309, 36246]
top: 365 297 [309, 36246]
top: 242 264 [309, 36246]
top: 7638 309 [311, 36246]
top: 7065 311 [313, 36246]
top: 6076 311 [314, 36246]
top: 9644 315 [317, 36246]
top: 7941 318 [320, 36246]
top: 7931 317 [320, 36246]
top: 6710 315 [320, 36246]
top: 7459 321 [323, 36246]
top: 6789 320 [323, 36246]
top: 8354 323 [325, 36246]
top: 6360 320 [325, 36246]
top: 6316 315 [325, 36246]
top: 5713 314 [325, 36246]
top: 4090 314 [326, 36246]
top: 2090 314 [327, 36246]
top: 2002 311 [327, 36246]
top: 1265 309 [327, 36246]
top: 7441 328 [330, 36246]
top: 7240 327 [330, 36246]
top: 6605 327 [331, 36246]
top: 7419 331 [333, 36246]
top: 6307 327 [333, 36246]
top: 9526 334 [336, 36246]
top: 2021 333 [336, 36246]
top: 9793 336 [338, 36246]
top: 5115 338 [340, 36246]
top: 2922 336 [340, 36246]
top: 9902 342 [344, 36246]
top: 9769 341 [344, 36246]
top: 6489 341 [345, 36246]
top: 3032 340 [345, 36246]
top: 2714 336 [345, 36246]
top: 1361 333 [345, 36246]
top: 1358 333 [346, 36246]
top: 1352 327 [346, 36246]
top: 955 309 [346, 36246]
top: 6371 346 [348, 36246]
top: 9735 348 [350, 36246]
top: 2772 346 [350, 36246]
top: 848 309 [350, 36246]
top: 6349 351 [353, 36246]
top: 4905 350 [353, 36246]
top: 4556 350 [354, 36246]
top: 3610 355 [357, 36246]
top: 3231 354 [357, 36246]
top: 2722 350 [357, 36246]
top: 6818 357 [359, 36246]
top: 2142 350 [359, 36246]
top: 6053 359 [361, 36246]
top: 1123 350 [361, 36246]
top: 352 309 [361, 36246]
top: 121 264 [361, 36246]
top: 6749 364 [366, 36246]
top: 5188 363 [366, 36246]
top: 3324 363 [367, 36246]
top: 4498 367 [369, 36246]
top: 2049 363 [369, 36246]
top: 7608 370 [372, 36246]
top: 4345 369 [372, 36246]
top: 8448 372 [374, 36246]
top: 6398 372 [375, 36246]
top: 7440 376 [378, 36246]
top: 7022 375 [378, 36246]
top: 5196 375 [379, 36246]
top: 2805 372 [379, 36246]
top: 6302 379 [381, 36246]
top: 2739 372 [381, 36246]
top: 1661 369 [381, 36246]
top: 6917 382 [384, 36246]
top: 9726 385 [387, 36246]
top: 6856 387 [389, 36246]
top: 6595 385 [389, 36246]
top: 5278 384 [389, 36246]
top: 4344 382 [389, 36246]
top: 9639 389 [391, 36246]
top: 9926 391 [393, 36246]
top: 8172 393 [395, 36246]
top: 7887 391 [395, 36246]
top: 6232 389 [395, 36246]
top: 3723 382 [395, 36246]
top: 3004 381 [395, 36246]
top: 1515 369 [395, 36246]
top: 1440 363 [395, 36246]
top: 1143 362 [395, 36246]
top: 9938 395 [397, 36246]
top: 8480 397 [399, 36246]
top: 7279 399 [401, 36246]
top: 7042 397 [401, 36246]
top: 5614 395 [401, 36246]
top: 1882 395 [402, 36246]
top: 1112 362 [402, 36246]
top: 9831 403 [405, 36246]
top: 6121 405 [407, 36246]
top: 3853 403 [407, 36246]
top: 2768 402 [407, 36246]
top: 1079 362 [407, 36246]
top: 625 361 [407, 36246]
top: 8763 408 [410, 36246]
top: 8526 410 [412, 36246]
top: 7112 408 [412, 36246]
top: 6866 408 [413, 36246]
top: 6833 407 [413, 36246]
top: 7581 413 [415, 36246]
top: 3601 407 [415, 36246]
top: 2275 407 [416, 36246]
top: 9168 418 [420, 36246]
top: 3310 417 [420, 36246]
top: 2778 416 [420, 36246]
top: 1668 407 [420, 36246]
top: 9264 420 [422, 36246]
top: 1448 407 [422, 36246]
top: 1371 407 [423, 36246]
top: 6003 423 [425, 36246]
top: 7397 425 [427, 36246]
top: 9164 427 [429, 36246]
top: 7203 425 [429, 36246]
top: 1134 423 [429, 36246]
top: 807 423 [430, 36246]
top: 644 407 [430, 36246]
